participant_id,sheet_name,item_number,stimulus_target,asr_start_time,asr_end_time,draft_asr_text,FINAL_AUDIT_TRANSCRIPTION,notes
38010-2A,38010-2A,1,Quiero cortarme el pelo (7),151.38,152.98,Repeat as much as you can.,Quiero corkalme el pelo.,
38010-2A,38010-2A,2,El libro está en la mesa (7),154.04,157.98,"Remember, you will start repeating the sentence until you hear the tone sound.",El libro está aana mesaa.,
38010-2A,38010-2A,3,El carro lo tiene Pedro (8),158.86,159.9,Now let's begin.,El carro lo [ti-] tiene Pelo.,
38010-2A,38010-2A,4,El se ducha cada mañana (9),161.02,162.64,Quiero cortarme el pelo.,Él se duche cada mañana.,
38010-2A,38010-2A,5,¿Qué dice usted que va a hacer hoy? (9),164.94,166.66,Quiero cortarme el pelo.,¿Qué dice usted que va ... a aster hoi?,hesitation
38010-2A,38010-2A,6,Dudo que sepa manejar muy bien (10),168.42,169.96,El libro está en la mesa.,Duro que sepaa maneha muy bien.,
38010-2A,38010-2A,7,Las calles de esta ciudad son muy anchas (11),171.98,174,El libro está en la mesa.,Las kaaes de esta ciudad son muy anchas ,
38010-2A,38010-2A,8,Puede que llueva mañana todo el día (12),176.34,177.26,¿El carro no tiene pelo?,Puede kim llueva mañana todo el día.,
38010-2A,38010-2A,9,Las casas son muy bonitas pero caras (12),179.5,181.52,El carro no tiene pelo.,Las casas son muy bonitas...[pera-] pero caras,
38010-2A,38010-2A,10,Me gustan las películas que acaban bien (12),183.5,185.22,Él se ducha cada mañana.,Me gustan las películas kque acaban bien.,
38010-2A,38010-2A,11,El chico con el que yo salgo es español (13),187.58,189.54,Él se ducha cada mañana.,El chico kay ... hago ... es español.,
38010-2A,38010-2A,12,Después de cenar me fui a dormir tranquilo (13),192.54,194.54,¿Qué dice usted que va a hacer hoy?,"Después de cenar, me fui a dormin tranquilo.",
38010-2A,38010-2A,13,Quiero una casa en la que vivan mis animales (14),196.72,199.38,¿Qué dice usted que va a hacer hoy?,Quiero una casa en.. la..que vivan animales.,
38010-2A,38010-2A,14,A nosotros nos fascinan las fiestas grandiosas (14),201.54,203.5,Dudo que se va a manejar muy bien.,A nosotros ...,
38010-2A,38010-2A,15,Ella sólo bebe cerveza y no come nada (15),205.7,208.44,Duro que sepa manejar muy bien.,Eaa solaa ... a ... bebe cerveza eno [come nad-] kame nada.,
38010-2A,38010-2A,16,Me gustaría que el precio de las casas bajara (15),211.26,213.5,Las calles de esta ciudad son muy anchas.,Me gustaríaa ...,
38010-2A,38010-2A,17,Cruza a la derecha y después sigue todo recto (15),222.12,224.62,Puede que llueva mañana todo el día.,Cruza a la derecha y despuésigue ... recto,
38010-2A,38010-2A,18,Ella ha terminado de pintar su apartamento (15),237.96,242.98,Las casas son muy bonitas pero caras.,Ella terminaar pintaa ... su apartamento.,
38010-2A,38010-2A,19,Me gustaría que empezara a hacer más calor pronto (15),245.04,247.74,Me gustan las películas que acaban bien.,......,
38010-2A,38010-2A,20,El niño al que se le murió el gato está triste (16),256.42,259.68,El chico con el que yo salgo es español.,El niño a que ... se ... murió el gato. Triste.,
38010-2A,38010-2A,21,Una amiga mía cuida a los niños de mi vecino (16),261.78,265.8,El chico que hago es español.,aa amiga mía cuidó a los niños ...,
38010-2A,38010-2A,22,El gato que era negro fue perseguido por el perro (16),268.46,271.76,"Después de cenar, me fui a dormir tranquilo.",El gato que ... era negro.,
38010-2A,38010-2A,23,Antes de poder salir él tiene que limpiar su cuarto (16),274.02,278.08,"Después de cenar, me fui a dormir tranquilo.","Antes de poder salir, tiene que limpiar su cuarto.",
38010-2A,38010-2A,24,La cantidad de personas que fuman ha disminuido (17),280.86,283.76,¿Quieres una casa en la que vivan los animales?,La cantidad de personas que fuman ...,
38010-2A,38010-2A,25,Después de llegar a casa del trabajo tomé la cena (17),285.92,289.76,Quiero una casa en la que vivan animales.,Después de llegar a casa ...,
38010-2A,38010-2A,26,El ladrón al que atrapó la policía era famoso (17),293.9,297.22,¿A nosotros nos fascinan las fiestas grandiosas?,El ladrón ...  policía era famosa.,
38010-2A,38010-2A,27,Le pedí a un amigo que me ayudara con la tarea (17),311.44,318.26,Ella solo bebe cerveza y no come nada.,Le pedí a un amigo ke ... ayudara con la tarea.,
38010-2A,38010-2A,28,El examen no fue tan difícil como me habían dicho (17),320.12,346.46,Me gustaría que el precio de las casas bajara y cruce a la derecha y después siga recto.,¿El examen ... no[-ooo] ... tan difícil?,
38010-2A,38010-2A,29,¿Serías tan amable de darme el libro que está en la mesa? (17),349.7,352.42,Ella ha terminado de pintar su apartamento.,¿Amable que está ... el libro que está en la mesa?,
38010-2A,38010-2A,30,Hay mucha gente que no toma nada para el desayuno (17),354,360.1,Ella termina pintando su apartamento.,Hay mucha gente que no toma nada para el desayuno.,
38010-2A,38010-2A,UNASSIGNED_31,,376.08,379.06,El niño al que se le murió el gato está triste.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_32,,381.24,388.78,El niño a que se murió el gato. Triste.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_33,,390.04,393.32,Una amiga mía cuidó a los niños de mi vecino.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_34,,395.04,400.64,Una amiga mía cuidó a los niños.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_35,,408.98,412.44,El gato que era negro.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_36,,423.92,430.58,"Antes de poder salir, tiene que limpiar su cuarto.",,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_37,,438.96,444.36,La cantidad de personas que fuman...,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_38,,456.9,459.38,Después de llegar a casa,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_39,,459.38,474,El ladrón,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_40,,474,476.52,La policía era famosa.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_41,,481.68,484.9,Le pedí a un amigo que me ayudara con la tarea.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_42,,487.88,492.02,Le pedí a un amigo que me ayudara con la tarea.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_43,,496.9,500.46,El examen no fue tan difícil como me habían dicho.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_44,,502.7,509.16,¿El examen no es tan difícil?,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_45,,512.92,515.92,¿Serías tan amable de darme el libro que está en la mesa?,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_46,,519.8,525.86,¿Amable que está el libro que está en la mesa?,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_47,,528.06,530.9,Hay mucha gente que no toma nada para el desayuno.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_48,,533.22,536.84,Hay mucha gente que no toma nada para el desayuno.,,Extra segment picked up by ASR
38010-2A,38010-2A,UNASSIGNED_49,,536.84,537.02,No sé.,,Extra segment picked up by ASR
